"id","name","country_id","language_id","region_id","data_value","start_date","end_date","publish_status","view_id","page_url","url_directory","meta_title","meta_description","home_page_id","super_app_id","legacy_template_id","is_mobile","space_between_items","show_on_search_engines","create_date","is_deleted"
3731,[OLD] APP-HOMEPAGE-UA-010126,24,5,1,"{""componentJson"": [{""id"": 7125, ""displayOrder"": 1}, {""id"": 7126, ""displayOrder"": 2}, {""id"": 7127, ""displayOrder"": 3}, {""id"": 7128, ""displayOrder"": 4}]}","2026-01-08 11:22:54.240101","2036-01-01 06:05:29",1,8,"","","","",221,1,120107,true,false,0,"2026-02-17 21:46:09.220552",false
3732,[OLD] APP-HOMEPAGE-UARU-010126,24,3,1,"{""componentJson"": [{""id"": 7129, ""displayOrder"": 1}, {""id"": 7130, ""displayOrder"": 2}, {""id"": 7131, ""displayOrder"": 3}]}","2026-01-08 11:23:18.845656","2036-01-01 06:01:57",1,8,"","","","",222,1,120108,true,false,0,"2026-02-17 21:46:09.392478",false
3733,[OLD] HOMEPAGE-UARU-010126,24,3,1,"{""componentJson"": [{""id"": 7132, ""displayOrder"": 1}, {""id"": 7133, ""displayOrder"": 2}, {""id"": 7134, ""displayOrder"": 3}]}","2026-01-02 06:21:49.010077","2036-01-01 06:02:42",1,8,"","","","",207,0,120110,false,false,0,"2026-02-17 21:46:09.578974",false
3742,[OLD] PILOT-HOMEPAGE-TEMPLATE,10,6,1,"{""componentJson"": [{""id"": 7157, ""displayOrder"": 1}, {""id"": 7158, ""displayOrder"": 2}]}","2025-10-22 22:34:02.939999","2026-10-01 14:00:00",1,8,"","","","",322,0,11,false,false,0,"2026-02-17 21:46:19.195407",false
3721,[OLD] WEB-WOMEN-UA-111225,24,5,1,"{""componentJson"": [{""id"": 7112, ""displayOrder"": 1}]}","2026-02-16 05:46:32.6221","2026-02-23 06:58:38.200867",4,8,"","","","",202,0,117755,false,false,0,"2026-02-17 21:46:08.059294",false
3729,[OLD] WEB-WOMEN-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7120, ""displayOrder"": 1}]}","2026-02-16 05:48:07.31242","2026-02-23 06:58:45.412425",4,8,"","","","",208,0,117763,false,false,0,"2026-02-17 21:46:08.780707",false
3720,[OLD] APP-WOMEN-UA-111225,24,5,1,"{""componentJson"": [{""id"": 7111, ""displayOrder"": 1}]}","2026-02-16 05:46:25.984168","2026-02-23 07:04:44.694545",4,8,"","","","",374,1,117754,true,false,0,"2026-02-17 21:46:07.955469",false
3728,[OLD] APP-WOMEN-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7119, ""displayOrder"": 1}]}","2026-02-16 05:48:01.721991","2026-02-23 07:04:50.984371",4,8,"","","","",380,1,117762,true,false,0,"2026-02-17 21:46:08.687051",false
3724,[OLD] APP-BOYS-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7115, ""displayOrder"": 1}]}","2026-02-17 04:43:05","2026-02-23 10:21:52.144635",4,8,"","","","",383,1,117758,true,false,0,"2026-02-17 21:46:08.342462",false
3725,[OLD] WEB-BOYS-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7116, ""displayOrder"": 1}]}","2026-02-17 04:43:42","2026-02-23 10:27:51.204357",4,8,"","","","",212,0,117759,false,false,0,"2026-02-17 21:46:08.42575",false
