"id","display_order","name","viewkey","status_type_id","platform_id","super_app_id","create_user_name","create_date","last_updated_user_name","last_updated_date","language_id","country_id","is_default","title","is_highlighted","old_id","old_status_type_id","old_platform_id","old_super_app_id","fallback_homepage_id"
"63",15,"النساء","women-eg",1,1,0,"TANER.CEVHER","2025-08-28 18:39:37.776681","MACIT.ISIK","2026-06-09 07:00:37.476105",12,8,True,"النساء",False,"63","1","1","0",NULL
"64",17,"الرجال","men-eg",1,1,0,"TANER.CEVHER","2025-08-28 18:39:51.998268","MACIT.ISIK","2026-06-09 07:00:37.476103",12,8,False,"الرجال",False,"64","1","1","0",NULL
"65",18,"أطفال & رضع ","kids-baby-eg",2,1,0,"TANER.CEVHER","2025-08-28 18:41:49.59065","MACIT.ISIK","2026-06-09 07:00:37.476103",12,8,False,"أطفال & رضع ",False,"65","2","1","0",NULL
"66",23,"منطقة العروض ","deal-zone-eg",2,1,0,"TANER.CEVHER","2025-08-28 18:42:11.476282","MACIT.ISIK","2026-06-09 07:00:37.476103",12,8,False,"منطقة العروض ",True,"66","1","1","0",NULL
"67",16,"الصفحة الرئيسية","homepage-eg-app",2,21,1,"TANER.CEVHER","2025-08-28 18:55:38.311891","TANER.CEVHER","2026-03-26 11:57:16.783373",12,8,False,"الصفحة الرئيسية",False,"67","1","21","1",NULL
"68",15,"النساء","women-eg-app",1,21,1,"TANER.CEVHER","2025-08-28 18:55:52.424721","TANER.CEVHER","2026-03-26 11:57:16.783373",12,8,True,"النساء",False,"68","1","21","1",NULL
"69",17,"الرجال","men-eg-app",1,21,1,"TANER.CEVHER","2025-08-28 18:55:59.931993","TANER.CEVHER","2026-03-26 11:57:16.783374",12,8,False,"الرجال",False,"69","1","21","1",NULL
"70",18,"أطفال & رضع ","kids-baby-eg-app",2,21,1,"TANER.CEVHER","2025-08-28 18:56:25.989662","TANER.CEVHER","2026-03-26 11:57:16.783374",12,8,False,"أطفال & رضع ",False,"70","2","21","1",NULL
"71",24,"منطقة العروض ","deal-zone-eg-app",2,21,1,"TANER.CEVHER","2025-08-28 18:57:02.805488","","2026-05-14 07:17:04.438482",12,8,False,"منطقة العروض ",True,"71","1","21","1",NULL
"72",16,"POČETNA","homepage-rs-app",2,21,1,"TANER.CEVHER","2025-08-28 20:40:12.45627","TANER.CEVHER","2026-03-26 11:57:16.783374",9,125,False,"POČETNA",False,"72","1","21","1",NULL
"73",15,"ŽENE","women-rs-app",1,21,1,"TANER.CEVHER","2025-08-28 20:40:21.985938","TANER.CEVHER","2026-03-26 11:57:16.783374",9,125,True,"ŽENE",False,"73","1","21","1",NULL
"74",17,"MUŠKARCI","men-rs-app",1,21,1,"TANER.CEVHER","2025-08-28 20:40:29.779118","TANER.CEVHER","2026-03-26 11:57:16.783374",9,125,False,"MUŠKARCI",False,"74","1","21","1",NULL
"75",18,"DECA I BEBE","kids-baby-rs-app",2,21,1,"TANER.CEVHER","2025-08-28 20:40:45.676972","TANER.CEVHER","2026-03-26 11:57:16.783374",9,125,False,"DECA I BEBE",False,"75","2","21","1",NULL
"76",24,"ZONA POPUSTA","deal-zone-rs-app",2,21,1,"TANER.CEVHER","2025-08-28 20:41:55.159596","","2026-06-11 09:08:48.919156",9,125,False,"ZONA POPUSTA",True,"76","1","21","1",NULL
"77",16,"الصفحة الرئيسية","homepage-irar",2,1,0,"TANER.CEVHER","2025-09-02 08:45:37.636919","MACIT.ISIK","2026-06-09 07:00:37.476104",14,13,False,"الصفحة الرئيسية",False,"77","1","1","0",NULL
"78",15,"النساء","women-iq-ar",1,1,0,"TANER.CEVHER","2025-09-02 08:46:06.848741","MACIT.ISIK","2026-06-09 07:00:37.476104",14,13,True,"النساء",False,"78","1","1","0",NULL
"79",18,"الرجال","men-iq-ar",1,1,0,"TANER.CEVHER","2025-09-02 08:46:09.894917","MACIT.ISIK","2026-06-09 07:00:37.476076",14,13,False,"الرجال",False,"79","1","1","0",NULL
"80",19,"الأطفال و الرضع ","kids-baby-iq-ar",1,1,0,"TANER.CEVHER","2025-09-02 08:46:25.341984","MACIT.ISIK","2026-06-09 07:00:37.476077",14,13,False,"الأطفال و الرضع ",False,"80","1","1","0",NULL
"81",24,"منطقة العروض ","deal-zone-iq-ar",1,1,0,"TANER.CEVHER","2025-09-02 08:46:40.539094","MACIT.ISIK","2026-06-09 07:00:37.476077",14,13,False,"منطقة العروض ",True,"81","1","1","0",NULL
"82",16,"لاپەڕەی سەرەکی","homepage-irku",2,1,0,"TANER.CEVHER","2025-09-02 08:47:21.230839","MACIT.ISIK","2026-06-09 07:00:37.476077",13,13,False,"لاپەڕەی سەرەکی",False,"82","1","1","0",NULL
